id;utilisateur_id;utilisateur_jhipster_id;nom;prenom;courriel;adresse;type
1;98665;54364;Rustic;Concrete;Borders;Senior;Admin
2;35846;93281;Jewelery project;Persevering Grocery;Keyboard;value-added;Admin
3;92921;26180;Cambridgeshire;firewall eyeballs;Shoes Buckinghamshire;calculating Sharable;Admin
4;88494;77117;Automotive Maryland;modular circuit;real-time Dollar;Clothing out-of-the-box;Admin
5;18326;15314;Designer incubate;invoice azure Factors;Wooden installation Fresh;Dakota attitude-oriented;Acheteur
6;66811;96566;Product;scalable collaborative;Shoes grey;rich;Acheteur
7;63776;83178;Chair Tasty tertiary;Tuna;ROI grid-enabled Open-source;GB;Acheteur
8;3974;55732;Utah architectures;efficient;Cambridgeshire e-business;indexing;Acheteur
9;42191;17354;SCSI;Cross-platform Baby;USB systems 1080p;Berkshire Ergonomic;Acheteur
10;83588;59423;Towels cross-platform Ball;Ergonomic;Maine Shirt;Baht;Acheteur
